uniqid,lat,long,Address,Street number,Street,City,State,Country,Zip,Address components,timestamp
61,21.9825,-159.365,"3-3300 Kuhio Hwy, Lihue, HI 96766, USA",Mar-00,Kuhio Highway,Lihue,Hawaii,United States,96766,"3-3300, Kuhio Highway, Lihue, Kauai County, Hawaii, United States, 96766",11/28/17 17:28
62,40.2848,-79.5481,"1207 S Main St, Greensburg, PA 15601, USA",1207,South Main Street,Greensburg,Pennsylvania,United States,15601,"1207, South Main Street, Greensburg, Westmoreland County, Pennsylvania, United States, 15601, 5319",11/28/17 11:39
63,35.0887,-80.9314,"3490 US-21, Fort Mill, SC 29715, USA",3490,U.S. 21,Fort Mill,South Carolina,United States,29715,"3490, U.S. 21, Fort Mill, York County, South Carolina, United States, 29715",11/28/17 8:48
64,37.415,-88.874,"707 E Vine St, Vienna, IL 62995, USA",707,East Vine Street,Vienna,Illinois,United States,62995,"707, East Vine Street, Vienna, Johnson County, Illinois, United States, 62995, 1645",11/27/17 19:57
65,22.0611,-159.322,"4-771 Kuhio Hwy, Kapaa, HI 96746, USA",4-771,Kuhio Highway,Kapaa,Hawaii,United States,96746,"4-771, Kuhio Highway, Kapaa, Kauai County, Hawaii, United States, 96746",11/27/17 17:54
66,40.833,-84.9372,"410 N 13th St, Decatur, IN 46733, USA",410,North 13th Street,Decatur,Indiana,United States,46733,"410, North 13th Street, Decatur, Washington Township, Adams County, Indiana, United States, 46733, 1256",11/27/17 16:15
67,34.9916,-86.8406,"26862 Main St, Ardmore, AL 35739, USA",26862,Main Street,Ardmore,Alabama,United States,35739,"26862, Main Street, Ardmore, Limestone County, Alabama, United States, 35739",11/27/17 16:03
68,29.6853,-98.125,"1035 I-35, New Braunfels, TX 78130, USA",1035,Interstate 35,New Braunfels,Texas,United States,78130,"1035, Interstate 35, New Braunfels, Comal County, Texas, United States, 78130, 5914",11/27/17 16:03
69,40.5392,-79.8302,"2925 Alpha Dr, Pittsburgh, PA 15238, USA",2925,Alpha Drive,Pittsburgh,Pennsylvania,United States,15238,"2925, Alpha Drive, Pittsburgh, Harmar Township, Allegheny County, Pennsylvania, United States, 15238",11/27/17 13:31
70,35.9789,-78.5378,"865 Durham Rd, Wake Forest, NC 27587, USA",865,Durham Road,Wake Forest,North Carolina,United States,27587,"865, Durham Road, Wake Forest, Wake Forest, Wake County, North Carolina, United States, 27587, 8793",11/27/17 10:59
71,41.725,-85.9724,"2808 Cassopolis St, Elkhart, IN 46514, USA",2808,Cassopolis Street,Elkhart,Indiana,United States,46514,"2808, Cassopolis Street, Elkhart, Osolo Township, Elkhart County, Indiana, United States, 46514, 5532",11/26/17 22:42
72,39.7385,-81.5275,"44193 Fairground Rd, Caldwell, OH 43724, USA",44193,Fairground Road,Caldwell,Ohio,United States,43724,"44193, Fairground Road, Caldwell, Olive Township, Noble County, Ohio, United States, 43724",11/26/17 20:05
73,35.4458,-78.4242,"101-105 Keen Rd, Four Oaks, NC 27524, USA",101-105,Keen Road,Four Oaks,North Carolina,United States,27524,"101-105, Keen Road, Four Oaks, Ingrams, Johnston County, North Carolina, United States, 27524",11/26/17 18:47
74,21.3283,-158.088,"4600 Kapolei Pkwy, Kapolei, HI 96707, USA",4600,Kapolei Parkway,Kapolei,Hawaii,United States,96707,"4600, Kapolei Parkway, Kapolei, Honolulu County, Hawaii, United States, 96707",11/26/17 17:18
75,26.192,-98.1214,"1018 W Frontage Rd, Alamo, TX 78516, USA",1018,West Frontage Road,Alamo,Texas,United States,78516,"1018, West Frontage Road, Alamo, Hidalgo County, Texas, United States, 78516",11/26/17 15:00
76,26.2617,-98.168,"401 E Trenton Rd, Edinburg, TX 78539, USA",401,East Trenton Road,Edinburg,Texas,United States,78539,"401, East Trenton Road, Edinburg, Hidalgo County, Texas, United States, 78539",11/26/17 14:59
77,35.3957,-82.5063,"5775 Asheville Hwy, Hendersonville, NC 28791, USA",5775,Asheville Highway,Hendersonville,North Carolina,United States,28791,"5775, Asheville Highway, Hendersonville, Hoopers Creek, Henderson County, North Carolina, United States, 28791",11/26/17 10:28
78,40.1183,-88.2045,"601 N Cunningham Ave, Urbana, IL 61802, USA",601,North Cunningham Avenue,Urbana,Illinois,United States,61802,"601, North Cunningham Avenue, Urbana, Cunningham Township, Champaign County, Illinois, United States, 61802, 1721",11/26/17 10:23
79,35.3405,-89.9116,"7839 US-51, Millington, TN 38053, USA",7839,U.S. 51,Millington,Tennessee,United States,38053,"7839, U.S. 51, Millington, Shelby County, Tennessee, United States, 38053",11/26/17 0:16
80,35.1854,-89.8959,"2200 Covington Pike, Memphis, TN 38128, USA",2200,Covington Pike,Memphis,Tennessee,United States,38128,"2200, Covington Pike, Memphis, Shelby County, Tennessee, United States, 38128, 6907",11/26/17 0:16
81,38.4134,-82.3439,"5178 US-60, Huntington, WV 25705, USA",5178,U.S. 60,Huntington,West Virginia,United States,25705,"5178, U.S. 60, Huntington, 4, Cabell County, West Virginia, United States, 25705, 2004",11/25/17 14:28
82,36.0732,-76.6113,"310 Virginia Rd, Edenton, NC 27932, USA",310,Virginia Road,Edenton,North Carolina,United States,27932,"310, Virginia Road, Edenton, 1, Edenton, Chowan County, North Carolina, United States, 27932, 9537",11/25/17 16:33
83,36.4813,-82.4965,"4317 Fort Henry Dr, Kingsport, TN 37663, USA",4317,Fort Henry Drive,Kingsport,Tennessee,United States,37663,"4317, Fort Henry Drive, Kingsport, Sullivan County, Tennessee, United States, 37663",11/25/17 16:40
84,35.6173,-77.6049,"3410 Cooperative Way, Farmville, NC 27828, USA",3410,Cooperative Way,Farmville,North Carolina,United States,27828,"3410, Cooperative Way, Farmville, Farmville, Pitt County, North Carolina, United States, 27828, 8573",11/24/17 13:46
85,21.4478,-158.189,"85-770 Farrington Hwy, Waianae, HI 96792, USA",85-770,Farrington Highway,Waianae,Hawaii,United States,96792,"85-770, Farrington Highway, Waianae, Honolulu County, Hawaii, United States, 96792",11/25/17 14:45
86,35.5675,-82.5445,"35 Hendersonville Rd, Asheville, NC 28803, USA",35,Hendersonville Road,Asheville,North Carolina,United States,28803,"35, Hendersonville Road, Biltmore Village, Asheville, Buncombe County, North Carolina, United States, 28803, 2646",11/25/17 10:56
87,35.7438,-81.5675,"443 Main St W, Morganton, NC 28655, USA",443,Main Street West,Morganton,North Carolina,United States,28655,"443, Main Street West, Morganton, Lovelady, Burke County, North Carolina, United States, 28655",11/25/17 9:21
88,40.053,-78.5115,"4363 US-220 BUS, Bedford, PA 15522, USA",4363,U.S. 220 Business,Bedford,Pennsylvania,United States,15522,"4363, U.S. 220 Business, Bedford, Bedford Township, Bedford County, Pennsylvania, United States, 15522",11/25/17 9:10
89,28.4814,-81.3304,"5175 S Conway Rd, Orlando, FL 32812, USA",5175,South Conway Road,Orlando,Florida,United States,32812,"5175, South Conway Road, Orlando, Orange County, Florida, United States, 32812, 1253",11/24/17 17:22
90,41.8862,-87.6243,"203 N Michigan Ave, Chicago, IL 60601, USA",203,North Michigan Avenue,Chicago,Illinois,United States,60601,"203, North Michigan Avenue, New East Side, Chicago, Cook County, Illinois, United States, 60601",11/24/17 13:06
91,33.1738,-96.7343,"16125 Eldorado Pkwy, Frisco, TX 75035, USA",16125,Eldorado Parkway,Frisco,Texas,United States,75035,"16125, Eldorado Parkway, El Dorado, Frisco, Collin County, Texas, United States, 75035",11/24/17 11:05
92,40.5661,-90.0342,"10 E Sycamore St, Canton, IL 61520, USA",10,East Sycamore Street,Canton,Illinois,United States,61520,"10, East Sycamore Street, Canton, Canton Township, Fulton County, Illinois, United States, 61520",11/23/17 15:12
93,35.7906,-78.6625,"416 Oberlin Rd, Raleigh, NC 27605, USA",416,Oberlin Road,Raleigh,North Carolina,United States,27605,"416, Oberlin Road, Raleigh, Raleigh, Wake County, North Carolina, United States, 27605, 1329",11/23/17 9:24
94,41.9985,-87.884,"3067 Mannheim Rd, Des Plaines, IL 60018, USA",3067,Mannheim Road,Des Plaines,Illinois,United States,60018,"3067, Mannheim Road, Des Plaines, Maine Township, Cook County, Illinois, United States, 60018, 3605",11/23/17 8:05
95,29.7155,-95.8139,"27140 Cinco Ranch Blvd, Katy, TX 77494, USA",27140,Cinco Ranch Boulevard,Katy,Texas,United States,77494,"27140, Cinco Ranch Boulevard, Katy, Fort Bend County, Texas, United States, 77494",11/23/17 0:01
96,43.0299,-89.4095,"2845 Fish Hatchery Rd, Fitchburg, WI 53713, USA",2845,Fish Hatchery Road,Fitchburg,Wisconsin,United States,53713,"2845, Fish Hatchery Road, Fitchburg, Dane County, Wisconsin, United States, 53713, 3120",11/23/17 0:00
97,41.9219,-88.2618,"3900 E Main St, West Chicago, IL 60185, USA",3900,East Main Street,West Chicago,Illinois,United States,60185,"3900, East Main Street, West Chicago, Wayne Township, DuPage County, Illinois, United States, 60185",11/22/17 17:59
98,21.4478,-158.189,"85-770 Farrington Hwy, Waianae, HI 96792, USA",85-770,Farrington Highway,Waianae,Hawaii,United States,96792,"85-770, Farrington Highway, Waianae, Honolulu County, Hawaii, United States, 96792",11/22/17 15:52
99,35.9913,-95.8001,"6310 S Elm Pl, Broken Arrow, OK 74011, USA",6310,South Elm Place,Broken Arrow,Oklahoma,United States,74011,"6310, South Elm Place, Broken Arrow, Tulsa County, Oklahoma, United States, 74011, 4100",11/22/17 15:03
100,34.1657,-79.828,"1389 Celebration Blvd, Florence, SC 29501, USA",1389,Celebration Boulevard,Florence,South Carolina,United States,29501,"1389, Celebration Boulevard, Florence, Florence County, South Carolina, United States, 29501, 5496",11/22/17 11:07
101,33.8014,-117.994,"7950 Katella Ave, Stanton, CA 90680, USA",7950,Katella Avenue,Stanton,California,United States,90680,"7950, Katella Avenue, Stanton, Orange County, California, United States, 90680, 3124",11/22/17 10:41
102,40.5353,-78.4021,"406 E 25th Ave, Altoona, PA 16601, USA",406,East 25th Avenue,Altoona,Pennsylvania,United States,16601,"406, East 25th Avenue, Altoona, Blair County, Pennsylvania, United States, 16601",11/22/17 9:50
103,34.8912,-116.999,"1611 E Main St, Barstow, CA 92311, USA",1611,East Main Street,Barstow,California,United States,92311,"1611, East Main Street, Barstow, San Bernardino County, California, United States, 92311, 3239",11/22/17 9:49
104,43.377,-99.85,"526 E 2nd St, Winner, SD 57580, USA",526,East 2nd Street,Winner,South Dakota,United States,57580,"526, East 2nd Street, Winner, Tripp County, South Dakota, United States, 57580, 1355",11/21/17 21:59
105,42.8673,-100.55,"101 US-20, Valentine, NE 69201, USA",101,U.S. 20,Valentine,Nebraska,United States,69201,"101, U.S. 20, Valentine, Cherry County, Nebraska, United States, 69201",11/21/17 21:58
106,21.3441,-157.928,"1012-1028 Valkenburgh St, Honolulu, HI 96818, USA",1012-1028,Valkenburgh Street,Honolulu,Hawaii,United States,96818,"1012-1028, Valkenburgh Street, Naval Station Pearl Harbor, Honolulu, Honolulu County, Hawaii, United States, 96818",11/21/17 15:45
107,29.8695,-97.6683,"1330 S Colorado St, Lockhart, TX 78644, USA",1330,South Colorado Street,Lockhart,Texas,United States,78644,"1330, South Colorado Street, Lockhart, Caldwell County, Texas, United States, 78644, 3904",11/21/17 11:36
108,34.5082,-81.8587,"12742 SC-56, Clinton, SC 29325, USA",12742,South Carolina 56,Clinton,South Carolina,United States,29325,"12742, South Carolina 56, Clinton, Laurens County, South Carolina, United States, 29325",11/21/17 9:06
109,21.4565,-158.016,"95 Kuahelani Ave, Mililani, HI 96789, USA",95,Kuahelani Avenue,Mililani,Hawaii,United States,96789,"95, Kuahelani Avenue, Mililani, Honolulu County, Hawaii, United States, 96789",11/20/17 22:20
110,35.8211,-90.7048,"111 E Highland Dr, Jonesboro, AR 72401, USA",111,East Highland Drive,Jonesboro,Arkansas,United States,72401,"111, East Highland Drive, Jonesboro, Jonesboro Township, Craighead County, Arkansas, United States, 72401, 5917",11/20/17 18:31
111,32.9688,-80.0024,"1651 Red Bank Rd, Goose Creek, SC 29445, USA",1651,Red Bank Road,Goose Creek,South Carolina,United States,29445,"1651, Red Bank Road, Goose Creek, Berkeley County, South Carolina, United States, 29445, 4589",11/20/17 14:16
112,34.9844,-118.948,"5852 Dennis McCarthy Dr, Lebec, CA 93243, USA",5852,Dennis McCarthy Drive,Lebec,California,United States,93243,"5852, Dennis McCarthy Drive, Lebec, Kern County, California, United States, 93243, 9713",11/20/17 10:53
113,26.192,-98.1214,"1018 W Frontage Rd, Alamo, TX 78516, USA",1018,West Frontage Road,Alamo,Texas,United States,78516,"1018, West Frontage Road, Alamo, Hidalgo County, Texas, United States, 78516",11/20/17 9:45
114,39.3884,-81.2061,"210 S Pleasants Hwy, St Marys, WV 26170, USA",210,South Pleasants Highway,Saint Marys,West Virginia,United States,26170,"210, South Pleasants Highway, Saint Marys, C, Pleasants County, West Virginia, United States, 26170",11/20/17 9:22
115,35.4411,-119.077,"35145 Merle Haggard Dr, Bakersfield, CA 93308, USA",35145,Merle Haggard Drive,Bakersfield,California,United States,93308,"35145, Merle Haggard Drive, Bakersfield, Kern County, California, United States, 93308, 9346",11/19/17 19:01
116,29.9372,-93.9344,"4500 Twin City Hwy, Groves, TX 77619, USA",4500,Twin City Highway,Groves,Texas,United States,77619,"4500, Twin City Highway, Groves, Jefferson County, Texas, United States, 77619, 3036",11/19/17 13:11
117,28.3611,-81.4231,"14001 Town Loop Blvd, Orlando, FL 32837, USA",14001,Town Loop Boulevard,Orlando,Florida,United States,32837,"14001, Town Loop Boulevard, Orlando, Orange County, Florida, United States, 32837, 6131",11/19/17 12:35
